"PSComputerName","InstalledOn","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CSName","Description","FixComments","HotFixID","InstallDate","InstalledBy","Name","ServicePackInEffect","Status"
"PRDVM06","2/11/2021 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4601056"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4601056"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4601056","PRDVM06","Update","","KB4601056","","NT AUTHORITY\SYSTEM","","",""
"PRDVM06","3/27/2020 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4517245"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4517245"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4517245","PRDVM06","Update","","KB4517245","","NT AUTHORITY\SYSTEM","","",""
"PRDVM06","2/11/2021 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4535680"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4535680"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4535680","PRDVM06","Security Update","","KB4535680","","NT AUTHORITY\SYSTEM","","",""
"PRDVM06","3/27/2020 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4537759"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4537759"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4537759","PRDVM06","Security Update","","KB4537759","","NT AUTHORITY\SYSTEM","","",""
"PRDVM06","3/27/2020 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4541338"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4541338"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4541338","PRDVM06","Security Update","","KB4541338","","NT AUTHORITY\SYSTEM","","",""
"PRDVM06","2/11/2021 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4580325"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4580325"",ServicePackInEffect=""""","https://support.microsoft.com/help/4580325","PRDVM06","Security Update","","KB4580325","","NT AUTHORITY\SYSTEM","","",""
"PRDVM06","2/11/2021 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4601395"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4601395"",ServicePackInEffect=""""","https://support.microsoft.com/help/4601395","PRDVM06","Security Update","","KB4601395","","NT AUTHORITY\SYSTEM","","",""
"PRDVM06","2/11/2021 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB5001028"",ServicePackInEffect=""""","11","System.String[]","PRDVM06","root\cimv2","\\PRDVM06\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB5001028"",ServicePackInEffect=""""","https://support.microsoft.com/help/5001028","PRDVM06","Security Update","","KB5001028","","NT AUTHORITY\SYSTEM","","",""
